Step,MSE,RMSE
1,12805.805,87.13671133341843
5,10842.876,73.77928343426952
10,10117.687,68.84506452416987
50,7801.1367,53.078632777872585
100,6571.465,44.704794519000416
150,5710.638,38.84668441904168
200,5386.0913,36.6373079981894
250,5116.6147,34.80195155197054
300,4805.4756,32.68254102885612
350,4410.118,29.99066389291724
400,4193.824,28.5184175565604
450,3799.448,25.83222911908411
500,3405.3625,23.152125063484778
550,3299.7712,22.433884942806365
600,3036.5916,20.64316821726236
650,2773.7256,18.85477605811175
700,2609.5195,17.73629511833437
750,2481.2627,16.86379556167596
800,2299.238,15.62502335879731
850,2222.8118,15.104379298920584
900,2090.5674,14.20487225261822
950,1976.436,13.428984821094271
1000,1897.0282,12.888341211920181
1050,1801.5436,12.239144695399164
1100,1754.2386,11.917051936744807
1150,1733.7694,11.777935949529178
1200,1640.2275,11.142165867651434
1250,1634.4507,11.10287065236558
1300,1584.835,10.765698387216867
1350,1557.2604,10.578271655478627
1400,1549.4463,10.525031691698175
1450,1628.126,11.059284895295763
1500,1591.8195,10.81255472789469
1550,1535.666,10.431079667058736
1600,1484.9554,10.08652205397016
1650,1484.2787,10.081955858909076
1700,1591.5571,10.810645039797718
1750,1553.4513,10.551718405919303
1800,1478.5948,10.043226350471745
1850,1438.4667,9.77072814650668
1900,1450.8278,9.854596268807127
1950,1426.5576,9.689703900341932
2000,1380.872,9.37938519084043
