Step,MSE,RMSE
1,14350.175,97.53916559039529
5,11410.707,77.55671676459451
10,11077.833,75.2920641911003
50,8054.232,54.73779065195755
100,7071.185,48.05573014498941
150,6702.5005,45.54935440353571
200,5794.2954,39.376616187444526
250,5358.1353,36.41178305493328
300,5047.0054,34.297177201667346
350,4637.733,31.515551334808503
400,4514.446,30.677497677508978
450,4359.889,29.62716379706428
500,4246.6133,28.857349565971248
550,4128.028,28.05145172363666
600,3967.122,26.958020092092838
650,3853.2,26.183889885938164
700,3737.0164,25.394282901016208
750,3599.8284,24.46154584464434
800,3457.7708,23.49567716961257
850,3330.0447,22.627861474231164
900,3249.3545,22.07939236007783
950,3185.2244,21.64355061589751
1000,3101.7656,21.07594429753744
1050,2973.5566,20.204565022044438
1100,2885.8525,19.608438754044457
1150,2832.5537,19.246215014866895
1200,2771.721,18.832488401129353
1250,2695.124,18.311881097320942
1300,2610.116,17.73427677924302
1350,2504.964,17.01988803741465
1400,2438.6099,16.568853921528262
1450,2379.2322,16.165102802909754
1500,2341.0542,15.905592787808024
1550,2290.2285,15.56010372944016
1600,2237.105,15.199008859501573
1650,2192.111,14.893057860963642
1700,2148.4417,14.596302899933773
1750,2118.3762,14.391939939501494
1800,2087.1267,14.179502599842412
1850,2052.133,13.941404302212277
1900,2013.7845,13.680780858914163
1950,1973.672,13.408234428609896
2000,1961.954,13.328482115694188
