Step,MSE,RMSE
1,9800.495,67.24110447929087
5,9266.761,63.54393067835397
10,9233.499,63.290811438531975
50,7273.267,49.81147361940305
100,6670.3354,45.66272653352024
150,5775.0103,39.51212932076401
200,5348.847,36.5831284946572
250,4915.0444,33.60417889787205
300,4427.614,30.253589302146988
350,4041.3801,27.605377009381204
400,3734.6555,25.50473537824761
450,3510.0908,23.95783349138806
500,3293.9004,22.473284411193298
550,3193.3567,21.778953416512902
600,3036.8904,20.70397513418328
650,2896.497,19.739104406471203
700,2715.8325,18.499695586984764
750,2617.5984,17.82328521288618
800,2521.9998,17.16661699121032
850,2388.3916,16.254286757522195
900,2343.8855,15.948957543942475
950,2196.7952,14.945930323234379
1000,2101.36,14.294662684936677
1050,2008.9277,13.663490754543986
1100,1924.8281,13.089659206902658
1150,1881.7968,12.79627029688192
1200,1855.0294,12.612513420455755
1250,1847.0831,12.554922280086558
1300,1774.3207,12.058892749665743
1350,1723.2007,11.710657258140662
1400,1669.9418,11.347674837359795
1450,1642.7518,11.161680671204133
1500,1634.349,11.103396050020542
1550,1599.4883,10.866305742551669
1600,1603.7911,10.895007672017334
1650,1556.4746,10.573179949526034
1700,1495.9272,10.161776812526089
1750,1428.8486,9.70586275605322
1800,1378.378,9.362920761200687
1850,1368.7313,9.297273100977595
1900,1353.3243,9.19257873814496
1950,1366.7443,9.283767828477313
2000,1373.9482,9.332505371864501
